Date,Open,High,Low,Close,Signal,Entry,StopLoss,TakeProfit,RiskReward
2022-11-26,16510.9,16693.18,16376.1,16450.93,NONE,,,,
2022-11-27,16450.32,16589.43,16395.0,16419.88,NONE,,,,
2022-11-28,16421.63,16478.32,15992.64,16206.3,NONE,,,,
2022-11-29,16206.23,16541.72,16092.53,16438.0,NONE,,,,
2022-11-30,16437.94,17259.37,16423.37,17167.33,NONE,,,,
2022-12-01,17165.44,17317.8,16855.0,16980.08,BUY,16698.36,15452.27,20436.63,3.0
2022-12-02,16980.07,17108.25,16791.02,17094.71,NONE,,,,
2022-12-03,17094.25,17158.42,16863.58,16888.53,NONE,,,,
2022-12-04,16889.17,17199.99,16882.86,17108.9,NONE,,,,
2022-12-05,17108.9,17424.59,16865.22,16966.05,NONE,,,,
2022-12-06,16966.05,17111.35,16904.04,17089.05,NONE,,,,
2022-12-07,17089.18,17140.22,16679.52,16840.0,NONE,,,,
2022-12-08,16839.76,17300.59,16738.0,17226.01,NONE,,,,
2022-12-09,17226.03,17352.62,17060.69,17130.59,NONE,,,,
2022-12-10,17130.49,17227.64,17093.42,17128.1,NONE,,,,
2022-12-11,17128.1,17271.92,17073.19,17085.21,NONE,,,,
2022-12-12,17085.62,17244.63,16875.83,17211.66,NONE,,,,
2022-12-13,17212.9,17999.99,17089.17,17773.18,NONE,,,,
2022-12-14,17772.98,18385.36,17660.93,17804.97,BUY,17452.78,15452.27,23454.309999999994,3.0
2022-12-15,17805.36,17856.26,17275.02,17357.96,NONE,,,,
2022-12-16,17359.1,17525.0,16529.53,16632.64,NONE,,,,
2022-12-17,16634.29,16799.99,16585.64,16782.25,NONE,,,,
2022-12-18,16782.23,16875.0,16663.76,16741.16,NONE,,,,
2022-12-19,16742.33,16822.84,16273.4,16439.74,NONE,,,,
2022-12-20,16439.98,17060.86,16398.22,16897.65,NONE,,,,
2022-12-21,16896.17,16926.05,16725.78,16826.56,NONE,,,,
2022-12-22,16825.18,16868.82,16560.84,16815.51,NONE,,,,
2022-12-23,16815.28,16943.29,16719.57,16777.21,NONE,,,,
2022-12-24,16777.88,16863.62,16775.88,16837.12,NONE,,,,
2022-12-25,16837.24,16853.88,16720.89,16829.02,NONE,,,,
2022-12-26,16829.19,16939.81,16787.97,16917.96,NONE,,,,
2022-12-27,16916.66,16967.0,16585.97,16698.73,NONE,,,,
2022-12-28,16698.31,16777.35,16460.0,16539.66,NONE,,,,
2022-12-29,16539.66,16654.81,16479.5,16627.54,NONE,,,,
2022-12-30,16627.36,16649.99,16326.16,16600.1,NONE,,,,
2022-12-31,16599.98,16634.42,16462.49,16530.35,NONE,,,,
2023-01-01,16531.83,16621.0,16490.0,16611.58,NONE,,,,
2023-01-02,16611.9,16789.99,16542.52,16666.95,NONE,,,,
2023-01-03,16666.86,16772.3,16600.0,16669.47,NONE,,,,
2023-01-04,16668.95,16988.0,16645.87,16844.42,NONE,,,,
2023-01-05,16844.4,16872.13,16750.07,16825.69,NONE,,,,
2023-01-06,16825.53,17027.11,16670.82,16948.06,NONE,,,,
2023-01-07,16948.0,16977.76,16903.58,16942.37,NONE,,,,
2023-01-08,16942.37,17167.52,16910.41,17125.18,NONE,,,,
2023-01-09,17125.17,17396.25,17102.97,17177.98,BUY,17040.364999999998,16662.48459,18174.00622999999,3.0
2023-01-10,17177.94,17494.37,17145.1,17443.5,NONE,,,,
2023-01-11,17443.5,17998.0,17315.08,17944.27,NONE,,,,
2023-01-12,17944.15,19115.85,17904.83,18847.75,NONE,,,,
2023-01-13,18847.77,20000.0,18714.8,19934.88,NONE,,,,
2023-01-14,19934.07,21321.98,19893.25,20957.02,NONE,,,,
2023-01-15,20956.2,21057.3,20560.16,20879.7,BUY,20280.08,16662.48459,31132.866230000007,3.0
2023-01-16,20879.67,21465.62,20611.45,21187.5,NONE,,,,
2023-01-17,21191.46,21595.0,20844.73,21136.33,NONE,,,,
2023-01-18,21135.01,21650.21,20370.01,20674.29,NONE,,,,
2023-01-19,20674.03,21197.0,20656.52,21084.22,NONE,,,,
2023-01-20,21084.05,22754.73,20865.64,22669.81,NONE,,,,
